EMPLID,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CL8,CL9,CL10,CL11,CL12,CL13,CL14,CL15,CL16,CL17,CL18,CL19,CL20,
1007572,0,,0,,0,0,0,0,0,0,0,,,,,,,,,,0
1007575,,,,,,,,,,,,1,1,,,,,,,,2
1007578,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,0
1007635,0,0,0,0,,0,0,0,0,1,,,,,,,,,,,1
1007641,1,,1,,,,,,,,,,0,0,,,,0,,,2
1007648,0,,,0,,0,0,0,0,0,0,,,,0,,,,,,0
1007660,0,0,,,,0,1,,,,,1,,,,,0,,,,2
1007705,0,,,,,0,0,0,0,0,0,,,0,,,,,,,0
1007712,,,,,,,,,,,,1,,,,,,,1,,2
1007762,0,,,,0,0,0,0,0,0,0,,,,0,,,,,,0
1007816,,0,,,,,,,,,,0,0,0,,0,0,,0,,0
1007820,,1,,,,,,,,,,0,0,,,,,1,,,2
1007822,0,0,,,,,,,,,,,0,,0,0,0,0,,,0
1007824,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,,0,,,1
1007825,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0
1007826,,,,,,,,,,,,1,,,,,,,1,,2
1007827,0,,,,0,0,0,0,0,,,,,,0,,0,,,,0
1007941,0,0,0,,0,0,0,,,,,,0,,0,,0,0,,,0
1007985,,0,,,,,,,,,,,,0,,,,,,,0
1008019,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1008021,0,,,,0,0,0,0,0,0,0,,,,0,,,,,,0
1008109,,,,,,,,,,,,,,,,1,,,1,,2
1008142,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1008145,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1008146,0,0,,,,,,,,,,,1,,,,0,,,,1
1008147,0,,0,,,0,0,0,0,0,0,,0,,0,,,0,,,0
1008149,0,0,1,,,,,,,,,,,,1,,,,,,2
1008218,,,,,,,,,,,,,,,,0,,,1,,1
1008219,0,,0,,,0,0,,,,,,,,,,,,,,0
1009255,0,,,,0,0,0,0,0,0,0,0,0,,0,,,,,,0
1009265,0,,,0,0,0,0,0,0,0,0,,0,,0,,,0,,,0
1009363,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,,,0
1009374,,1,,,,,,,,,,0,,,,1,,,0,,2
1009416,1,,,,,,,,,,,1,0,,,,,,,,2
1009428,,,,,,,,,,,,,1,,1,,,,,,2
1009447,0,,,,,0,0,0,0,0,0,,,,0,,,,,,0
1009491,0,,0,,,0,0,0,0,0,0,,,,0,,,,,,0
1009614,0,,0,0,0,0,0,,0,0,,,0,,0,0,,0,,,0
1009617,0,,,,,0,0,0,0,0,0,0,,,0,,,,,,0
1009618,,1,,,,,,,,,,0,,,,1,,,0,,2
1009659,,,,,,,,,,,,1,,,,,,,1,,2
